000033 	 8.624853E+00 	 -7.91991983E+03  2.04698717E+03  9.75833587E-01  5.87102448E+01  2.27527614E+02 -1.32008689E-01 	 2.25899192E+01 4.69440537E+03 4.69440537E+03 009066 	 5.52084696E+03 6.00000000E+03 2.09596304E+00 
000034 	 8.886213E+00 	 -7.90391842E+03  2.10770053E+03  9.42620921E-01  6.05236371E+01  2.26915884E+02  5.90245246E-03 	 2.24999735E+01 4.63343012E+03 4.63343012E+03 008993 	 5.50736530E+03 6.00000000E+03 2.09243069E+00 
000035 	 9.147572E+00 	 -7.88755858E+03  2.16826674E+03  9.12312867E-01  6.22684880E+01  2.26389592E+02 -6.98099568E-02 	 2.24595059E+01 4.60639904E+03 4.60639904E+03 008937 	 5.50292048E+03 6.00000000E+03 2.12659815E+00 
000036 	 9.408931E+00 	 -7.87069411E+03  2.22871126E+03  9.11879375E-01  6.40607930E+01  2.25949276E+02 -1.19613578E-03 	 2.24270448E+01 4.58872040E+03 4.58872040E+03 008892 	 5.50120969E+03 6.00000000E+03 2.15048086E+00 
000037 	 9.670290E+00 	 -7.85335171E+03  2.28901186E+03  9.23554255E-01  6.56145765E+01  2.25440167E+02 -2.29184582E-02 	 2.23788832E+01 4.55689897E+03 4.55689897E+03 008841 	 5.49731931E+03 6.00000000E+03 2.12674389E+00 
000038 	 9.931649E+00 	 -7.83557330E+03  2.34920494E+03  9.03876311E-01  6.74098954E+01  2.24906740E+02  2.58237192E-02 	 2.23549145E+01 4.54213897E+03 4.54213897E+03 008798 	 5.49280919E+03 6.00000000E+03 2.11102991E+00 
000039 	 1.019301E+01 	 -7.81726122E+03  2.40923142E+03  9.61882571E-01  6.92912951E+01  2.24249668E+02  1.94870754E-05 	 2.23243761E+01 4.52050447E+03 4.52050447E+03 008740 	 5.48652463E+03 6.00000000E+03 2.08107379E+00 
000040 	 1.045437E+01 	 -7.79851413E+03  2.46912360E+03  9.23068010E-01  7.09159089E+01  2.23790738E+02  5.28700879E-03 	 2.22760514E+01 4.49305736E+03 4.49305736E+03 008696 	 5.46593230E+03 6.00000000E+03 2.06089576E+00 
000041 	 1.071573E+01 	 -7.77930918E+03  2.52884000E+03  9.33085517E-01  7.26783543E+01  2.23307868E+02  2.03720770E-02 	 2.22271637E+01 4.46659969E+03 4.46659969E+03 008647 	 5.46392524E+03 6.00000000E+03 2.04440409E+00 
000042 	 1.097709E+01 	 -7.75970444E+03  2.58851693E+03  8.85126972E-01  7.43744335E+01  2.22817406E+02  2.76270868E-02 	 2.21704885E+01 4.43492990E+03 4.43492990E+03 008596 	 5.46171561E+03 6.00000000E+03 2.02772897E+00 
000043 	 1.123845E+01 	 -7.73959825E+03  2.64799856E+03  8.72101034E-01  7.59752516E+01  2.22259333E+02  4.92416800E-02 	 2.21528711E+01 4.42375854E+03 4.42375854E+03 008560 	 5.45299749E+03 6.00000000E+03 2.01982343E+00 
000044 	 1.149980E+01 	 -7.71904043E+03  2.70729903E+03  8.49059911E-01  7.76491363E+01  2.21488142E+02 -7.74310226E-02 	 2.21318759E+01 4.40440621E+03 4.40440621E+03 008527 	 5.45272778E+03 6.00000000E+03 1.99142363E+00 
000045 	 1.176116E+01 	 -7.69805138E+03  2.76645796E+03  8.64653425E-01  7.93996357E+01  2.20924923E+02 -6.99885840E-02 	 2.20726414E+01 4.37116277E+03 4.37116277E+03 008473 	 5.45046689E+03 6.00000000E+03 1.94721579E+00 
000046 	 1.202252E+01 	 -7.67657102E+03  2.82544061E+03  8.34175896E-01  8.11902234E+01  2.20258293E+02 -1.81962942E-01 	 2.20612362E+01 4.36389909E+03 4.36389909E+03 008441 	 5.44657259E+03 6.00000000E+03 2.01650231E+00 
